;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
rebel_type			gladiator_uprising
category			gladiator_revolt
chance				0
description			gladiator_uprising
unit				mex_bers

;======================================================================================
					
rebel_type			brigands
category			brigands
chance				999
description			brigands
unit				mex_bers
					
rebel_type			pirates
category			pirates
chance				250					
description			pirates
unit				pirate ship		

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
;Taiping, Southern China	
rebel_type			Livonian_Rebels
category			peasant_revolt 
chance				400					
description			Livonian_Rebels
unit				merc_tib_temple_guard
unit				taipingguners
unit				taipingguners
unit				taipingguners
unit				taiping_inf
unit				taiping_inf
unit				taiping_inf
unit				taiping_light
unit				taiping_light
unit				byz_armstrong


;Big Sword Society, Northern China	
rebel_type			Chinese_Rebels
category			peasant_revolt 
chance				400					
description			Chinese_Rebels
unit				qing_vets
unit				qing_vets
unit				qing_vets
unit				qing_vets
unit				qing_archers
unit				qing_archers
unit				qing_swords
unit				qing_swords
unit				qing_swords
unit				byz_armstrong

;Kingdom of Nepal
rebel_type			Nepal_Rebels
category			peasant_revolt 
chance				400					
description			Nepal_Rebels
unit				merc_bhutan_warrior
unit				merc_bhutan_warrior
unit				merc_bhutan_warrior
unit				merc_bhutan_warrior
unit				merc_bhutan_warrior


;Tibet
rebel_type			Tibet_Rebels
category			peasant_revolt 
chance				400					
description			Tibet_Rebels
unit				tib_militia
unit				tib_militia
unit				tib_horse_archer
unit				tib_roy_inf
unit				tib_tribal_archer
unit				tib_tribal_spear
unit				tib_noble_cav

;Korean rebels, Korea
rebel_type			Burgundian_Rebels
category			peasant_revolt 
chance				400					
description			Burgundian_Rebels
unit				korean_rifles_mercs
unit				korean_rifles_mercs
unit				korean_rifles_mercs
unit				korean_rifles_mercs
unit				korean_archers
unit				korean_archers
unit				korean_cav_mercs
unit				sho_12lb
unit				sho_armstrong

;Japanese Rebels, Japan
rebel_type			Anatolian_Rebels
category			peasant_revolt 
chance				400					
description			Anatolian_Rebels
unit				sho_sam_cav
unit				sho_sam_spears
unit				sho_ashigaru
unit				sho_sam
unit				sho_sam
unit				sho_sam_archers
unit				sho_sam
unit				sho_ashigaru
unit				sho_ashigaru
unit				sho_12lb
unit				sho_armstrong

;Thai rebels
rebel_type			Croatian_Rebels
category			peasant_revolt 
chance				400					
description			Croatian_Rebels
unit				siam_ele_gunner
unit				siam_agent
unit				siam_agent
