;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; faction description
;;  logo_index          gets resolved from STRATEGY_SPRITE_PAGE
;;  small_logo_index    gets resolved from SHARED_SPRITE_PAGE
;;  -- names in indeces do not match due to ... (put your own)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

faction						spain
culture						southern_european
religion					catholic
symbol						models_strat/symbol_spain.CAS
rebel_symbol				models_strat/symbol_slave.CAS
primary_colour				red 255, green 210, blue 0
secondary_colour			red 255, green 210, blue 0
loading_logo				loading_screen/symbols/symbol128_spain.tga
standard_index				7
logo_index					FACTION_LOGO_SPAIN
small_logo_index			SMALL_FACTION_LOGO_SPAINA
triumph_value				5
intro_movie					faction/minor.bik
victory_movie				faction/spain_win.bik
defeat_movie				faction/spain_lose.bik
death_movie					faction/spain_lose.bik
custom_battle_availability	yes
can_sap						no
prefers_naval_invasions		yes
can_have_princess				no
has_family_tree					yes


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

faction						moors
culture						middle_eastern
religion					islam
symbol						models_strat/symbol_moors.CAS
rebel_symbol				models_strat/symbol_slave.CAS
primary_colour				red 254, green 120, blue 0
secondary_colour			red 254, green 120, blue 0
loading_logo				loading_screen/symbols/symbol128_moors.tga
standard_index				9
logo_index					FACTION_LOGO_MOORS
small_logo_index			SMALL_FACTION_LOGO_MOORS
triumph_value				5
intro_movie					faction/minor.bik
victory_movie				faction/minor_win.bik
defeat_movie				faction/minor_lose.bik
death_movie					faction/minor_lose.bik
custom_battle_availability	yes
can_sap						no
prefers_naval_invasions		yes
can_have_princess				teutonic
has_family_tree					yes


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

faction						turks
culture						middle_eastern
religion					islam
symbol						models_strat/symbol_turks.CAS
rebel_symbol				models_strat/symbol_slave.CAS
primary_colour				red 177, green 24, blue 30
secondary_colour			red 177, green 24, blue 30
loading_logo				loading_screen/symbols/symbol128_turks.tga
standard_index				26
logo_index					FACTION_LOGO_TURKS
small_logo_index			SMALL_FACTION_LOGO_TURKS
triumph_value				5
intro_movie					faction/minor.bik
victory_movie				faction/minor_win.bik
defeat_movie				faction/minor_lose.bik
death_movie					faction/minor_lose.bik
custom_battle_availability	yes
can_sap						no
prefers_naval_invasions		no
can_have_princess			no
has_family_tree					yes


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

faction						egypt
culture						middle_eastern
religion					shia
symbol						models_strat/symbol_egypt.CAS
rebel_symbol				models_strat/symbol_slave.CAS
primary_colour				red 134, green 164, blue 54
secondary_colour			red 134, green 164, blue 54
loading_logo				loading_screen/symbols/symbol128_egypt.tga
standard_index				22
logo_index					FACTION_LOGO_EGYPT
small_logo_index			SMALL_FACTION_LOGO_EGYPT
triumph_value				5
intro_movie					faction/minor.bik
victory_movie				faction/minor_win.bik
defeat_movie				faction/minor_lose.bik
death_movie					faction/minor_lose.bik
custom_battle_availability	yes
can_sap						no
prefers_naval_invasions		no
can_have_princess			no
has_family_tree					yes


