;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
rebel_type			gladiator_uprising
category			gladiator_revolt
chance				100
description			gladiator_uprising
unit				us_farmers

;======================================================================================
					
rebel_type			brigands
category			brigands
chance				50
description			brigands
unit				us_farmers
					
rebel_type			pirates
category			pirates
chance				50
description			pirates
unit				pirate ship		

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
;Oriental rebels		
rebel_type			Livonian_Rebels
category			peasant_revolt 
chance				3					
description			Livonian_Rebels
unit				qing_inf
unit				qing_inf
unit				qing_carbs
unit				qing_swords
unit				qing_swords
unit				qing_swords
unit				qing_inf
unit				qing_inf
unit				qing_carbs
unit				qing_carbs
unit				qing_swords
unit				qing_swords
unit				qing_swords
unit				qing_swords
unit				qing_inf
unit				qing_inf

;Inuit rebels
rebel_type			Bohemian_Rebels
category			peasant_revolt 
chance				3					
description			Bohemian_Rebels
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmer_cav
unit				us_farmer_cav
unit				us_farmer_cav
unit				us_farmers
unit				us_farmers
unit				us_farmers


rebel_type			Bulgarian_Rebels
category			peasant_revolt 
chance				3					
description			Bulgarian_Rebels
unit				rus_conscript
unit				rus_conscript
unit				bulgarian_inf
unit				bulgarian_inf
unit				rus_conscript
unit				rus_conscript
unit				bulgarian_inf
unit				bulgarian_inf

rebel_type			Wallachian_Rebels
category			peasant_revolt 
chance				3					
description			Wallachian_Rebels
unit				siam_ele_gunner
unit				viet_inf
unit				siam_agent
unit				siam_agent
unit				Siam_Archers
unit				Siam_Archers
unit				siam_ele_gunner
unit				viet_inf
unit				siam_agent
unit				siam_agent
unit				Siam_Archers
unit				Siam_Archers

rebel_type			Greek_Rebels
category			peasant_revolt 
chance				3					
description			Greek_Rebels
unit				rus_conscript
unit				rus_conscript
unit				bulgarian_inf
unit				bulgarian_inf
unit				rus_conscript
unit				rus_conscript
unit				bulgarian_inf
unit				bulgarian_inf


rebel_type			Native_Rebels
category			peasant_revolt 
chance				3					
description			Native_Rebels
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmers
unit				us_farmer_cav
unit				us_farmer_cav
unit				us_farmer_cav
unit				us_farmers
unit				us_farmers
unit				us_farmers

;Thai rebels
rebel_type			Croatian_Rebels
category			peasant_revolt 
