Historical Faction,Internal Faction,Unit Type,Dictionary,Unit Name,Category,Era 0 (1860),Era 1 (1870),Era 2 (1880)
Union,portugala,berdan_inf,berdan_inf,"Berdan Sharpshooters (Rifle-Musket, Model 1861 Springfield)",infantry,Yes,Yes,No
Confederates,milan,berdan_inf,berdan_inf,"Berdan Sharpshooters (Rifle-Musket, Model 1861 Springfield)",infantry,Yes,Yes,No
Union,portugala,ap_front_cav,ap_front_cav,"Indian Scout Cavalry (Carbine, Burnside)",cavalry,Yes,Yes,No
Confederates,milan,ap_front_cav,ap_front_cav,"Indian Scout Cavalry (Carbine, Burnside)",cavalry,Yes,No,No
Union,portugala,us_front_cav,us_front_cav,United States General and Staff. this should be an elite cavalry unit,cavalry,Yes,Yes,Yes
Union,portugala,us_scout_cav,us_scout_cav,"Dragoons (Carbine, Henry Rifle)",cavalry,Yes,Yes,Yes
Union,portugala,us_zouave,us_zouave,"Zouaves (Rifle-Musket, Fusil Minié)",infantry,Yes,No,No
France,france,us_zouave,us_zouave,"Zouaves (Rifle-Musket, Fusil Minié)",infantry,Yes,Yes,No
Britain,england,union_irish_brigade,union_irish_brigade,"Irish Brigade (Rifle-Musket, Lorenz Model 1854)",cavalry,Yes,No,No
Union,portugala,us_inf,us_inf,"United States Army Regulars (Rifle-Musket, Springfield Model 1861)",infantry,Yes,Yes,No
Union,portugala,us_blacks,us_blacks,"Union Colored Infantry (Rifle-Musket, Springfield Model 1855)",infantry,Yes,Yes,No
Union,portugala,us_colo_inf,us_colo_inf,"United States Marines (Rifle, Joslyn Model 1865)",infantry,Yes,Yes,Yes
Union,portugala,us_late_inf,us_late_inf,"National Guard (Rifle, Springfield Model 1873)",infantry,No,Yes,Yes
Union,portugala,us_front_inf,us_front_inf,"Union State Militia (Rifle-Musket, Enfield Pattern 1853)",cavalry,Yes,No,No
Union,portugala,us_militia,us_militia,"United States Army Regulars (Magazine Rifle, M1898 Krag–Jørgensen)",infantry,No,No,Yes
Union,portugala,apache_inf,apache_inf,"Indian Scouts (Rifle-Musket, Pattern 1853 Enfield)",infantry,Yes,Yes,No
Confederates,milan,apache_inf,apache_inf,"Indian Scouts (Rifle-Musket, Pattern 1853 Enfield)",infantry,Yes,No,No
Confederates,milan,csa_lancer,csa_lancer,Confederate General and Staff,cavalry,Yes,Yes,Yes
Confederates,milan,csa_zouave,csa_zouave,"Louisiana Tigers (Rifle-Musket, Model 1841 Mississippi)",infantry,Yes,No,No
